Date,log
2021-01-04,5.910227399517515
2021-01-05,5.917091118956957
2021-01-06,5.92305183174337
2021-01-07,5.937800038622304
2021-01-08,5.943481582699913
2021-01-11,5.936717934879859
2021-01-12,5.936929131704681
2021-01-13,5.939618490883442
2021-01-14,5.936110364397766
2021-01-15,5.928790985071355
2021-01-19,5.936612279440683
2021-01-20,5.95035609137527
2021-01-21,5.951267331941138
2021-01-22,5.947721636912917
2021-01-25,5.951657700297862
2021-01-26,5.950095550261629
2021-01-27,5.925351463429471
2021-01-28,5.933914893198121
2021-01-29,5.913692196724883
2021-02-01,5.930200687705163
2021-02-02,5.944241871742374
2021-02-03,5.945027877318459
2021-02-04,5.9563294826614275
2021-02-05,5.960257615443804
2021-02-08,5.9674536021538405
2021-02-09,5.9667875593955415
2021-02-10,5.966351811869879
2021-02-11,5.967965574948979
2021-02-12,5.972893198830099
2021-02-16,5.972026822098934
2021-02-17,5.972256280498006
2021-02-18,5.96799119404658
2021-02-19,5.96622365611242
2021-02-22,5.9585022062511275
2021-02-23,5.959715848793402
2021-02-24,5.970674904857624
2021-02-25,5.946284074906643
2021-02-26,5.9411181341592085
2021-03-01,5.965069201281243
2021-03-02,5.957235377663499
2021-03-03,5.943901165380961
2021-03-04,5.931449147103175
2021-03-05,5.949678559144306
2021-03-08,5.944687358746955
2021-03-09,5.958863907743653
2021-03-10,5.965069201281243
2021-03-11,5.97515730073132
2021-03-12,5.976503175772303
2021-03-15,5.982449038419213
2021-03-16,5.981186921946701
2021-03-17,5.984591002747262
2021-03-18,5.969934456621193
2021-03-19,5.964812544318238
2021-03-22,5.972765800972364
2021-03-23,5.964863865310803
2021-03-24,5.959767432014376
2021-03-25,5.965377243668839
2021-03-26,5.9813637326732065
2021-03-29,5.9808584982364605
2021-03-30,5.978202014706917
2021-03-31,5.982247163678185
2021-04-01,5.992988348910992
2021-04-05,6.007239430175412
2021-04-06,6.006648670409944
2021-04-07,6.007805297689149
2021-04-08,6.012540845816899
2021-04-09,6.019784694752918
2021-04-12,6.0201492165534445
2021-04-13,6.0231085169620435
2021-04-14,6.019687535720044
2021-04-15,6.030372699681764
2021-04-16,6.0337095521059005
2021-04-19,6.028784395760305
2021-04-20,6.021435918182112
2021-04-21,6.030853532939687
2021-04-22,6.02167844786561
2021-04-23,6.032462502708678
2021-04-26,6.034547947565036
2021-04-27,6.034332421021859
2021-04-28,6.034044980020399
2021-04-29,6.040397552405119
2021-04-30,6.033805358345095
2021-05-03,6.035959816183991
2021-05-04,6.029771369514307
2021-05-05,6.030084118073037
2021-05-06,6.038037987884885
2021-05-07,6.045289622235533
2021-05-10,6.035337887393475
2021-05-11,6.026373070966727
2021-05-12,6.004898909742335
2021-05-13,6.016839850463917
2021-05-14,6.03207848775997
2021-05-17,6.0295307214744875
2021-05-18,6.020877713602938
2021-05-19,6.018252488211252
2021-05-20,6.028952988579504
2021-05-21,6.028133937348751
2021-05-24,6.038276597594549
2021-05-25,6.036055407086524
2021-05-26,6.038037987884885
2021-05-27,6.038562824999224
2021-05-28,6.040349965180907
2021-06-01,6.039468720152384
2021-06-02,6.0410400851055535
2021-06-03,6.037321816958022
2021-06-04,6.046426119624728
2021-06-07,6.045455455459305
2021-06-08,6.04566859823075
2021-06-09,6.044175571545337
2021-06-10,6.048813186045178
2021-06-11,6.050464314406752
2021-06-14,6.052700769542448
2021-06-15,6.05086491627128
2021-06-16,6.045265908873399
2021-06-17,6.044934224354468
2021-06-18,6.028085762925851
2021-06-21,6.042300202004514
2021-06-22,6.047632157900295
2021-06-23,6.046426119624728
2021-06-24,6.05232444972258
2021-06-25,6.0558702125883555
2021-06-28,6.057884113331453
2021-06-29,6.0584220437739695
2021-06-30,6.059263366968996
2021-07-01,6.064784692004641
2021-07-02,6.072399167418477
2021-07-06,6.0705760351983065
2021-07-07,6.074103860960871
2021-07-08,6.065922489186612
2021-07-09,6.0765406942373295
2021-07-12,6.080116213981087
2021-07-13,6.076701425546915
2021-07-14,6.078192528231906
2021-07-15,6.074771153234392
2021-07-16,6.0668966337337595
2021-07-19,6.052018581070102
2021-07-20,6.066247285887941
2021-07-21,6.074310984792268
2021-07-22,6.076402924001425
2021-07-23,6.086638359526985
2021-07-26,6.089090200981243
2021-07-27,6.084522214103665
2021-07-28,6.084112063742246
2021-07-29,6.088250895694505
2021-07-30,6.0833826388393275
2021-08-02,6.081282390558287
2021-08-03,6.089384939832648
2021-08-04,6.0844538789777545
2021-08-05,6.090766770288021
2021-08-06,6.0924178432528615
2021-08-09,6.091603967524479
2021-08-10,6.092847144851408
2021-08-11,6.095328941387576
2021-08-12,6.098321409721109
2021-08-13,6.100139593846067
2021-08-16,6.10249148099842
2021-08-17,6.0959146677080325
2021-08-18,6.0849093351408134
2021-08-19,6.08645646116105
2021-08-20,6.094382048075067
2021-08-23,6.103140102832906
2021-08-24,6.104726268612029
2021-08-25,6.106822430373866
2021-08-26,6.10090176368962
2021-08-27,6.109802984056065
2021-08-30,6.114190924263393
2021-08-31,6.112708248986742
2021-09-01,6.113239577015241
2021-09-02,6.1163114689842395
2021-09-03,6.116068680695949
2021-09-07,6.112486756428125
2021-09-08,6.111267771169199
2021-09-09,6.106978367789849
2021-09-10,6.099062563186887
2021-09-13,6.101618525531948
2021-09-14,6.096207402265231
2021-09-15,6.104525350294051
2021-09-16,6.102938865540193
2021-09-17,6.0899514799950065
2021-09-20,6.073136715438952
2021-09-21,6.072191647184246
2021-09-22,6.081899191124575
2021-09-23,6.093975991534549
2021-09-24,6.095621847432219
