Date,log
2000-08-28,1.575881136795014
2000-09-04,1.5851452433160633
2000-09-11,1.6496196874091136
2000-09-18,1.6353005801378964
2000-09-25,1.6486585889075995
2000-10-02,1.6094379124341003
2000-10-09,1.7110915385927785
2000-10-16,1.5967578183249416
2000-10-23,1.5107219858102505
2000-10-30,1.5912739107294653
2000-11-06,1.6974487967434386
2000-11-13,1.811562077824738
2000-11-20,1.8835787357794234
2000-11-27,1.8983692328608242
2000-12-04,2.1500164987928834
2000-12-11,2.1282316604362044
2000-12-18,2.259573251781948
2000-12-25,2.2798280668463926
2001-01-01,2.224623551524334
2001-01-08,2.1367666227077824
2001-01-15,2.012232794536317
2001-01-22,1.9851308910284224
2001-01-29,1.908504934278261
2001-02-05,1.826160902088217
2001-02-12,1.717035894257462
2001-02-19,1.6389967331935924
2001-02-26,1.662978697441264
2001-03-05,1.6253112465718973
2001-03-12,1.6154200258230484
2001-03-19,1.6620303589340135
2001-03-26,1.6154200258230484
2001-04-02,1.6841742606721137
2001-04-09,1.6828742383054
2001-04-16,1.6347156772163118
2001-04-23,1.5824777520135989
2001-04-30,1.5018526507782517
2001-05-07,1.4534855821257788
2001-05-14,1.4565197802283991
2001-05-21,1.3795214893144816
2001-05-28,1.368639442867735
2001-06-04,1.3666017102666197
2001-06-11,1.381030554453772
2001-06-18,1.319620255376437
2001-06-25,1.1301109415579007
2001-07-02,1.1740288955249887
2001-07-09,1.1786549963416462
2001-07-16,1.0834986250394671
2001-07-23,1.1527847850219621
2001-07-30,1.0888985817147288
2001-08-06,1.1118575028697841
2001-08-13,1.19483113832422
2001-08-20,0.9954715628769718
2001-08-27,0.8671005357678014
2001-09-03,0.9162907318741551
2001-09-10,0.9368773834199913
2001-09-17,0.7433648613489043
2001-09-24,0.8082599689609533
2001-10-01,0.8006553874187653
2001-10-08,0.8878912848245564
2001-10-15,0.9861898571195269
2001-10-22,1.1121863723169894
2001-10-29,1.178039393524775
2001-11-05,1.0732944643816946
2001-11-12,0.9696419391964581
2001-11-19,1.0342515166248103
2001-11-26,0.9936220656303483
2001-12-03,0.9431274162799316
2001-12-10,1.0459144842533883
2001-12-17,1.062985104436535
2001-12-24,1.0202902964521567
2001-12-31,0.8219800943226633
2002-01-07,0.7902738895598617
2002-01-14,0.8046885825894337
2002-01-21,0.7443154761953833
2002-01-28,0.7608058780544014
2002-02-04,0.779324907423567
2002-02-11,0.7911809614683841
2002-02-18,0.8899467330353911
2002-02-25,0.8671005357678014
2002-03-04,1.0331844629825016
2002-03-11,1.118414897264793
2002-03-18,1.1999647628208059
2002-03-25,1.177115314889206
2002-04-01,1.1847899790762915
2002-04-08,1.1410330411146548
2002-04-15,1.2612978628403244
2002-04-22,1.2059707812907978
2002-04-29,1.3177477904979864
2002-05-06,1.3214891570867298
2002-05-13,1.2711640699168787
2002-05-20,1.208064387467233
2002-05-27,1.168449250628476
2002-06-03,1.1644000280155082
2002-06-10,1.2074667021333245
2002-06-17,1.1746469714087067
2002-06-24,1.177115314889206
2002-07-01,1.1346226924598963
2002-07-08,1.0249657272842359
2002-07-15,1.0760258199094073
2002-07-22,1.077048147781857
2002-07-29,1.0501220935224835
2002-08-05,1.0155929032428408
2002-08-12,1.147084919707995
2002-08-19,1.2490417644115837
2002-08-26,1.1927096132045971
2002-09-02,1.1832597948583097
2002-09-09,1.2432896689034616
2002-09-16,1.323886873583922
2002-09-23,1.3964921587203847
2002-09-30,1.3188182179302508
2002-10-07,1.4221439919314036
2002-10-14,1.4443273554743947
2002-10-21,1.3932699445508756
2002-10-28,1.401182959519932
2002-11-04,1.3617455180084357
2002-11-11,1.3815330306030176
2002-11-18,1.4492692140094081
2002-11-25,1.435084479876259
2002-12-02,1.47773339793751
2002-12-09,1.6646833714994727
2002-12-16,1.647696657594766
2002-12-23,1.6034197978935767
2002-12-30,1.6759744105365333
2003-01-06,1.6376365912697397
2003-01-13,1.7112721776601765
2003-01-20,1.7091022659320343
2003-01-27,1.7236590599270647
2003-02-03,1.7989006139924344
2003-02-10,1.7666125581192622
2003-02-17,1.8885836740624455
2003-02-24,2.0919874901290996
2003-03-03,1.942332314034679
2003-03-10,1.691754936654364
2003-03-17,1.6331544166996743
2003-03-24,1.638219696068504
2003-03-31,1.5979724019118569
2003-04-07,1.6884338770662268
2003-04-14,1.7420438963596347
2003-04-21,1.7005575489842073
2003-04-28,1.6591800261064438
2003-05-05,1.7588919056810686
2003-05-12,1.8118888760406562
2003-05-19,1.8113986776228008
2003-05-26,1.8325814637483102
2003-06-02,1.8733394913789774
2003-06-09,1.7360705969771333
2003-06-16,1.7587195855785578
2003-06-23,1.679337037679472
2003-06-30,1.6536461349808007
2003-07-07,1.6397730744828773
2003-07-14,1.6094379124341003
2003-07-21,1.548838258691657
2003-07-28,1.5839149700736028
2003-08-04,1.616810702358266
2003-08-11,1.5785662589961933
2003-08-18,1.6639261374545993
2003-08-25,1.554136585360539
2003-09-01,1.5625559073445474
2003-09-08,1.561507335455053
2003-09-15,1.5002924209251958
2003-09-22,1.4883995453072971
2003-09-29,1.561717217834657
2003-10-06,1.7320094560482076
2003-10-13,1.616612071490452
2003-10-20,1.5656949424600337
2003-10-27,1.5878056380345582
2003-11-03,1.548838258691657
2003-11-10,1.6315907148365616
2003-11-17,1.5334203881430983
2003-11-24,1.5943243133519425
2003-12-01,1.8140101154704267
2003-12-08,1.976993474411235
2003-12-15,1.9433353906529087
2003-12-22,1.8530113745622423
2003-12-29,1.8227735437137127
2004-01-05,1.9860919632923402
2004-01-12,1.7817091430076275
